x y z normal_x normal_y normal_z
0.500281 -0.201611 0.0282648 -0.238849 0.257157 -0.936387
0.50078 -0.200751 0.0283728 -0.238849 0.257157 -0.936387
0.50128 -0.199891 0.0284808 -0.238849 0.257157 -0.936387
0.501776 -0.199029 0.0285823 -0.23019 0.242553 -0.942433
0.502264 -0.19816 0.0286665 -0.23019 0.242553 -0.942433
0.502751 -0.197292 0.0287506 -0.23019 0.242553 -0.942433
0.503239 -0.196423 0.0288348 -0.23019 0.242553 -0.942433
0.503727 -0.195554 0.028919 -0.23019 0.242553 -0.942433
0.504215 -0.194685 0.0290032 -0.23019 0.242553 -0.942433
0.504703 -0.193816 0.0290874 -0.267699 0.212502 -0.939777
0.50519 -0.192947 0.0291716 -0.267699 0.212502 -0.939777
0.505678 -0.192078 0.0292558 -0.267699 0.212502 -0.939777
0.506166 -0.191209 0.0293399 -0.267699 0.212502 -0.939777
0.506653 -0.19034 0.0294227 -0.267699 0.212502 -0.939777
0.507128 -0.189462 0.0294867 -0.267699 0.212502 -0.939777
0.507603 -0.188584 0.0295507 -0.267699 0.212502 -0.939777
0.508077 -0.187707 0.0296146 -0.267699 0.212502 -0.939777
0.508552 -0.186829 0.0296786 -0.263131 0.230598 -0.936796
0.509027 -0.185951 0.0297426 -0.263131 0.230598 -0.936796
0.509502 -0.185073 0.0298066 -0.263131 0.230598 -0.936796
0.509977 -0.184196 0.0298705 -0.263131 0.230598 -0.936796
0.510452 -0.183318 0.0299345 -0.263131 0.230598 -0.936796
0.510926 -0.18244 0.0299985 -0.271262 0.2276 -0.935209
0.511401 -0.181562 0.0300625 -0.271262 0.2276 -0.935209
0.511876 -0.180685 0.0301264 -0.271262 0.2276 -0.935209
0.512351 -0.179807 0.0301904 -0.294298 0.183503 -0.937931
0.512826 -0.178929 0.0302544 -0.294298 0.183503 -0.937931
0.513301 -0.178051 0.0303184 -0.294298 0.183503 -0.937931
0.513775 -0.177174 0.0303823 -0.294298 0.183503 -0.937931
0.51423 -0.176283 0.0304068 -0.294298 0.183503 -0.937931
0.51468 -0.175391 0.0304246 -0.294298 0.183503 -0.937931
0.515131 -0.174498 0.0304425 -0.294298 0.183503 -0.937931
0.515582 -0.173606 0.0304603 -0.296791 0.187142 -0.936426
0.516033 -0.172713 0.0304782 -0.296791 0.187142 -0.936426
0.516484 -0.171821 0.030496 -0.296791 0.187142 -0.936426
0.516934 -0.170929 0.0305138 -0.296791 0.187142 -0.936426
0.517385 -0.170036 0.0305317 -0.296791 0.187142 -0.936426
0.517836 -0.169144 0.0305495 -0.296791 0.187142 -0.936426
0.518287 -0.168251 0.0305674 -0.296791 0.187142 -0.936426
0.518738 -0.167359 0.0305852 -0.296791 0.187142 -0.936426
0.519188 -0.166466 0.030603 -0.296791 0.187142 -0.936426
0.519639 -0.165574 0.0306209 -0.316936 0.139999 -0.938058
0.52009 -0.164681 0.0306387 -0.316936 0.139999 -0.938058
0.520541 -0.163789 0.0306566 -0.316936 0.139999 -0.938058
0.520992 -0.162897 0.0306744 -0.316936 0.139999 -0.938058
0.521442 -0.162004 0.0306923 -0.316936 0.139999 -0.938058
0.521893 -0.161112 0.0307101 -0.316936 0.139999 -0.938058
0.522341 -0.160218 0.0307226 -0.316936 0.139999 -0.938058
0.522761 -0.159311 0.030688 -0.316936 0.139999 -0.938058
0.52318 -0.158404 0.0306534 -0.316936 0.139999 -0.938058
0.5236 -0.157497 0.0306188 -0.316936 0.139999 -0.938058
0.52402 -0.15659 0.0305842 -0.316936 0.139999 -0.938058
0.52444 -0.155683 0.0305496 -0.343728 0.138426 -0.928811
0.524859 -0.154776 0.0305151 -0.343728 0.138426 -0.928811
0.525279 -0.153869 0.0304805 -0.343728 0.138426 -0.928811
0.525699 -0.152962 0.0304459 -0.343728 0.138426 -0.928811
0.526119 -0.152055 0.0304113 -0.342915 0.141576 -0.928636
0.526538 -0.151148 0.0303767 -0.333903 0.100907 -0.937191
0.526958 -0.150241 0.0303421 -0.333903 0.100907 -0.937191
0.527378 -0.149334 0.0303075 -0.333903 0.100907 -0.937191
0.527798 -0.148427 0.030273 -0.333903 0.100907 -0.937191
0.528217 -0.14752 0.0302384 -0.333903 0.100907 -0.937191
0.528637 -0.146613 0.0302038 -0.333903 0.100907 -0.937191
0.529057 -0.145706 0.0301692 -0.333903 0.100907 -0.937191
0.529477 -0.144799 0.0301346 -0.333903 0.100907 -0.937191
0.529896 -0.143892 0.0301 -0.333903 0.100907 -0.937191
0.530316 -0.142985 0.0300654 -0.333903 0.100907 -0.937191
0.530736 -0.142078 0.0300309 -0.333903 0.100907 -0.937191
0.531148 -0.141168 0.0299887 -0.333903 0.100907 -0.937191
0.531539 -0.14025 0.0299254 -0.333903 0.100907 -0.937191
0.531931 -0.139332 0.029862 -0.333903 0.100907 -0.937191
0.532322 -0.138414 0.0297987 -0.330274 0.103947 -0.938144
0.532713 -0.137496 0.0297354 -0.330274 0.103947 -0.938144
0.533104 -0.136578 0.0296721 -0.331081 0.068318 -0.941126
0.533496 -0.13566 0.0296087 -0.331081 0.068318 -0.941126
0.533887 -0.134741 0.0295454 -0.331081 0.068318 -0.941126
0.534278 -0.133823 0.0294821 -0.331081 0.068318 -0.941126
0.534669 -0.132905 0.0294188 -0.331081 0.068318 -0.941126
0.535061 -0.131987 0.0293555 -0.331081 0.068318 -0.941126
