x y z normal_x normal_y normal_z
0.36906 -0.300677 0.106271 0.0725509 0.416828 -0.906085
0.369133 -0.30026 0.105365 0.0725509 0.416828 -0.906085
0.369206 -0.299844 0.104459 0.0725509 0.416828 -0.906085
0.369278 -0.299427 0.103553 0.0725509 0.416828 -0.906085
0.369351 -0.29901 0.102647 0.0725509 0.416828 -0.906085
0.369423 -0.298593 0.101741 0.0725509 0.416828 -0.906085
0.369496 -0.298176 0.100835 0.0725509 0.416828 -0.906085
0.369568 -0.29776 0.0999287 0.0725509 0.416828 -0.906085
0.369641 -0.297343 0.0990226 0.0725509 0.416828 -0.906085
0.369713 -0.296926 0.0981165 0.0725509 0.416828 -0.906085
0.369786 -0.296509 0.0972105 0.0725509 0.416828 -0.906085
0.369858 -0.296092 0.0963044 0.0725509 0.416828 -0.906085
0.369931 -0.295675 0.0953983 0.0725509 0.416828 -0.906085
0.370004 -0.295259 0.0944922 0.0725509 0.416828 -0.906085
0.370076 -0.294842 0.0935861 0.0725509 0.416828 -0.906085
0.370149 -0.294425 0.09268 0.0725509 0.416828 -0.906085
0.370221 -0.294008 0.0917739 0.0725509 0.416828 -0.906085
0.370294 -0.293591 0.0908679 0.0725509 0.416828 -0.906085
0.370366 -0.293174 0.0899618 0.0725509 0.416828 -0.906085
0.370439 -0.292758 0.0890557 0.0725509 0.416828 -0.906085
0.370511 -0.292341 0.0881496 0.0725509 0.416828 -0.906085
0.370584 -0.291924 0.0872435 0.0725509 0.416828 -0.906085
0.370657 -0.291507 0.0863374 0.0725509 0.416828 -0.906085
0.370729 -0.29109 0.0854313 0.0725509 0.416828 -0.906085
0.370802 -0.290673 0.0845253 0.0725509 0.416828 -0.906085
0.370874 -0.290257 0.0836192 0.0725509 0.416828 -0.906085
0.370947 -0.28984 0.0827131 0.0725509 0.416828 -0.906085
0.371019 -0.289423 0.081807 0.0725509 0.416828 -0.906085
0.371092 -0.289006 0.0809009 0.0725509 0.416828 -0.906085
0.371164 -0.288589 0.0799948 0.0725509 0.416828 -0.906085
0.371237 -0.288172 0.0790887 0.0725509 0.416828 -0.906085
0.37131 -0.287756 0.0781827 0.0725509 0.416828 -0.906085
0.371382 -0.287339 0.0772766 0.0725509 0.416828 -0.906085
0.371455 -0.286922 0.0763705 0.0725509 0.416828 -0.906085
0.371527 -0.286505 0.0754644 0.0725509 0.416828 -0.906085
0.3716 -0.286088 0.0745583 0.0725509 0.416828 -0.906085
0.371672 -0.285671 0.0736522 0.0725509 0.416828 -0.906085
0.371745 -0.285255 0.0727461 0.0725509 0.416828 -0.906085
0.371817 -0.284838 0.0718401 0.0725509 0.416828 -0.906085
0.37189 -0.284421 0.070934 0.0725509 0.416828 -0.906085
0.371962 -0.284004 0.0700279 0.0725509 0.416828 -0.906085
0.372035 -0.283587 0.0691218 0.0725509 0.416828 -0.906085
0.372108 -0.283171 0.0682157 0.0725509 0.416828 -0.906085
0.37218 -0.282754 0.0673096 0.0725509 0.416828 -0.906085
0.372253 -0.282337 0.0664035 0.0725509 0.416828 -0.906085
0.372325 -0.28192 0.0654975 0.0725509 0.416828 -0.906085
0.372398 -0.281503 0.0645914 0.0725509 0.416828 -0.906085
0.37247 -0.281086 0.0636853 0.0725509 0.416828 -0.906085
0.372543 -0.28067 0.0627792 0.0725509 0.416828 -0.906085
0.372615 -0.280253 0.0618731 0.0725509 0.416828 -0.906085
0.372688 -0.279836 0.060967 0.0725509 0.416828 -0.906085
0.372761 -0.279419 0.0600609 0.0725509 0.416828 -0.906085
0.372833 -0.279002 0.0591549 0.0725509 0.416828 -0.906085
0.372906 -0.278585 0.0582488 0.0725509 0.416828 -0.906085
0.372978 -0.278169 0.0573427 0.0725509 0.416828 -0.906085
0.373051 -0.277752 0.0564366 0.0725509 0.416828 -0.906085
0.373123 -0.277335 0.0555305 0.0725509 0.416828 -0.906085
0.373196 -0.276918 0.0546244 0.0725509 0.416828 -0.906085
0.373268 -0.276501 0.0537184 0.0725509 0.416828 -0.906085
0.373341 -0.276084 0.0528123 0.0725509 0.416828 -0.906085
0.373413 -0.275668 0.0519062 0.0725509 0.416828 -0.906085
0.373486 -0.275251 0.0510001 0.0725509 0.416828 -0.906085
0.373559 -0.274834 0.050094 0.0725509 0.416828 -0.906085
0.373631 -0.274417 0.0491879 0.0725509 0.416828 -0.906085
0.373704 -0.274 0.0482818 0.0725509 0.416828 -0.906085
0.373776 -0.273583 0.0473758 0.0725509 0.416828 -0.906085
0.373849 -0.273167 0.0464697 0.0725509 0.416828 -0.906085
0.373921 -0.27275 0.0455636 0.0725509 0.416828 -0.906085
0.373994 -0.272333 0.0446575 0.0725509 0.416828 -0.906085
0.374066 -0.271916 0.0437514 0.0725509 0.416828 -0.906085
0.374139 -0.271499 0.0428453 0.0725509 0.416828 -0.906085
0.374212 -0.271083 0.0419392 0.0725509 0.416828 -0.906085
0.374284 -0.270666 0.0410332 0.0725509 0.416828 -0.906085
0.374357 -0.270249 0.0401271 0.0725509 0.416828 -0.906085
0.374429 -0.269832 0.039221 0.0725509 0.416828 -0.906085
0.374502 -0.269415 0.0383149 0.0725509 0.416828 -0.906085
0.374574 -0.268998 0.0374088 0.0725509 0.416828 -0.906085
0.374647 -0.268582 0.0365027 0.0725509 0.416828 -0.906085
0.374719 -0.268165 0.0355966 0.0725509 0.416828 -0.906085
0.374792 -0.267748 0.0346906 0.0725509 0.416828 -0.906085
0.374864 -0.267331 0.0337845 0.0725509 0.416828 -0.906085
0.374937 -0.266914 0.0328784 0.0725509 0.416828 -0.906085
0.37501 -0.266497 0.0319723 0.0725509 0.416828 -0.906085
0.375082 -0.266081 0.0310662 0.0725509 0.416828 -0.906085
0.375155 -0.265664 0.0301601 0.0725509 0.416828 -0.906085
0.375227 -0.265247 0.029254 0.0725509 0.416828 -0.906085
0.3753 -0.26483 0.028348 0.0725509 0.416828 -0.906085
0.375372 -0.264413 0.0274419 0.0725509 0.416828 -0.906085
0.375445 -0.263996 0.0265358 0.0725509 0.416828 -0.906085
0.375517 -0.26358 0.0256297 0.0725509 0.416828 -0.906085
0.37559 -0.263163 0.0247236 0.0725509 0.416828 -0.906085
0.375663 -0.262746 0.0238175 0.0725509 0.416828 -0.906085
0.375735 -0.262329 0.0229114 0.0725509 0.416828 -0.906085
0.375808 -0.261912 0.0220054 0.0725509 0.416828 -0.906085
0.37588 -0.261495 0.0210993 0.0725509 0.416828 -0.906085
0.375953 -0.261079 0.0201932 0.0725509 0.416828 -0.906085
0.376025 -0.260662 0.0192871 0.0725509 0.416828 -0.906085
0.376098 -0.260245 0.018381 0.0725509 0.416828 -0.906085
0.37617 -0.259828 0.0174749 0.0725509 0.416828 -0.906085
0.377015 -0.25886 0.0168844 0.0725509 0.416828 -0.906085
0.377787 -0.258308 0.0171999 0.0725509 0.416828 -0.906085
0.37856 -0.257757 0.0175154 0.0725509 0.416828 -0.906085
0.379332 -0.257205 0.017831 0.0725509 0.416828 -0.906085
0.380104 -0.256654 0.0181465 0.0725509 0.416828 -0.906085
0.380876 -0.256102 0.018462 0.0725509 0.416828 -0.906085
0.381648 -0.255551 0.0187776 0.0725509 0.416828 -0.906085
0.382421 -0.254999 0.0190931 0.0725509 0.416828 -0.906085
0.383193 -0.254449 0.0194115 0.0793987 0.418065 -0.904941
0.383964 -0.2539 0.0197328 0.0793987 0.418065 -0.904941
0.384736 -0.253352 0.0200541 0.0793987 0.418065 -0.904941
0.385508 -0.252798 0.0203654 0.0607646 0.382053 -0.922141
0.386283 -0.252234 0.0206504 0.0607646 0.382053 -0.922141
0.387057 -0.251669 0.0209354 0.0607646 0.382053 -0.922141
0.387832 -0.251104 0.0212204 0.0607646 0.382053 -0.922141
0.388607 -0.250539 0.0215054 0.0607646 0.382053 -0.922141
0.389381 -0.249975 0.0217904 0.0607646 0.382053 -0.922141
0.390156 -0.249409 0.022074 0.0715081 0.346622 -0.935275
0.390931 -0.248839 0.0223447 0.0715081 0.346622 -0.935275
0.391707 -0.248269 0.0226154 0.0715081 0.346622 -0.935275
0.392482 -0.247698 0.022886 0.0715081 0.346622 -0.935275
0.393258 -0.247127 0.0231552 0.0648564 0.341137 -0.937774
0.394034 -0.246554 0.0234163 0.0327888 0.337674 -0.940692
0.394812 -0.245971 0.0236526 0.0327888 0.337674 -0.940692
0.395589 -0.245388 0.0238889 0.0327888 0.337674 -0.940692
0.396366 -0.244805 0.0241252 0.0327888 0.337674 -0.940692
0.397144 -0.244222 0.0243615 0.0327888 0.337674 -0.940692
0.397921 -0.24364 0.0245978 0.0327888 0.337674 -0.940692
0.398699 -0.243057 0.0248341 0.0327888 0.337674 -0.940692
0.399476 -0.242474 0.0250704 0.0327888 0.337674 -0.940692
0.400254 -0.241891 0.0253067 0.0327888 0.337674 -0.940692
0.401031 -0.241308 0.025543 0.0327888 0.337674 -0.940692
0.401809 -0.240725 0.0257794 0.0327888 0.337674 -0.940692
0.402586 -0.240144 0.026019 0.0358559 0.343015 -0.938645
0.403364 -0.239563 0.026261 0.0358559 0.343015 -0.938645
0.404141 -0.238982 0.0265029 0.0358559 0.343015 -0.938645
0.404918 -0.238402 0.0267448 0.0358559 0.343015 -0.938645
0.405696 -0.237814 0.0269675 0.00718031 0.334267 -0.942451
0.406474 -0.237223 0.0271828 0.00718031 0.334267 -0.942451
0.407252 -0.236633 0.0273982 0.00718031 0.334267 -0.942451
0.408029 -0.236043 0.0276135 0.00718031 0.334267 -0.942451
0.408807 -0.235452 0.0278288 0.00718031 0.334267 -0.942451
0.409585 -0.234862 0.0280441 0.00718031 0.334267 -0.942451
0.410363 -0.234272 0.0282594 0.00718031 0.334267 -0.942451
0.411141 -0.233681 0.0284735 0.00663657 0.318559 -0.94788
0.411919 -0.233087 0.0286785 0.00663657 0.318559 -0.94788
0.412697 -0.23249 0.0288757 -0.00804467 0.316733 -0.948481
0.413475 -0.231892 0.0290687 -0.00804467 0.316733 -0.948481
0.414253 -0.231295 0.0292618 -0.00804467 0.316733 -0.948481
0.415031 -0.230697 0.0294549 -0.00804467 0.316733 -0.948481
0.415809 -0.230099 0.0296479 -0.00804467 0.316733 -0.948481
0.416587 -0.229501 0.029841 -0.00804467 0.316733 -0.948481
0.417365 -0.228903 0.0300341 -0.00804467 0.316733 -0.948481
0.418143 -0.228305 0.0302272 -0.00804467 0.316733 -0.948481
0.418921 -0.227707 0.0304202 -0.00804467 0.316733 -0.948481
0.419699 -0.227108 0.030609 -0.0133744 0.312884 -0.949697
0.420476 -0.226508 0.0307957 -0.0133744 0.312884 -0.949697
0.421254 -0.225908 0.0309824 -0.0133744 0.312884 -0.949697
0.422032 -0.225308 0.0311691 -0.0133744 0.312884 -0.949697
0.42281 -0.224708 0.0313559 -0.0133744 0.312884 -0.949697
0.423588 -0.224106 0.0315394 -0.0348934 0.317586 -0.947587
0.424365 -0.223502 0.0317132 -0.0348934 0.317586 -0.947587
0.425143 -0.222898 0.0318871 -0.0348934 0.317586 -0.947587
0.42592 -0.222288 0.0320452 -0.0469904 0.304969 -0.951202
0.426697 -0.22168 0.0322053 -0.0460315 0.309406 -0.949815
0.427474 -0.221071 0.0323659 -0.0460315 0.309406 -0.949815
0.428251 -0.220462 0.0325266 -0.0460315 0.309406 -0.949815
0.429028 -0.219854 0.0326872 -0.0460315 0.309406 -0.949815
0.429805 -0.219245 0.0328478 -0.0460315 0.309406 -0.949815
0.430582 -0.218636 0.0330084 -0.0460315 0.309406 -0.949815
0.431359 -0.218028 0.033169 -0.0460315 0.309406 -0.949815
0.432136 -0.217419 0.0333291 -0.0505148 0.305089 -0.950983
0.432913 -0.216808 0.0334838 -0.0505148 0.305089 -0.950983
0.433689 -0.216198 0.0336384 -0.0505148 0.305089 -0.950983
0.434466 -0.215587 0.033793 -0.0505148 0.305089 -0.950983
0.435243 -0.214976 0.0339477 -0.0505148 0.305089 -0.950983
0.436019 -0.214366 0.0341023 -0.0505148 0.305089 -0.950983
0.436796 -0.213755 0.0342569 -0.0505148 0.305089 -0.950983
0.437573 -0.213145 0.0344113 -0.069254 0.301509 -0.950945
0.438348 -0.212529 0.03455 -0.069254 0.301509 -0.950945
0.439124 -0.211913 0.0346888 -0.069254 0.301509 -0.950945
0.439899 -0.211296 0.0348211 -0.0745753 0.287589 -0.954846
0.440674 -0.210676 0.0349472 -0.0745753 0.287589 -0.954846
0.441449 -0.210056 0.0350733 -0.0745753 0.287589 -0.954846
0.442224 -0.209437 0.0351994 -0.0745753 0.287589 -0.954846
0.442998 -0.208817 0.0353255 -0.0745753 0.287589 -0.954846
0.443773 -0.208198 0.0354516 -0.0745753 0.287589 -0.954846
0.444548 -0.207578 0.0355776 -0.0745753 0.287589 -0.954846
0.445323 -0.206959 0.0357037 -0.0745753 0.287589 -0.954846
0.446096 -0.206336 0.0358179 -0.0929489 0.280301 -0.955401
0.446869 -0.205711 0.0359261 -0.0929489 0.280301 -0.955401
0.447643 -0.205086 0.0360342 -0.0929489 0.280301 -0.955401
0.448415 -0.204459 0.0361374 -0.0845179 0.258578 -0.962286
0.449188 -0.203832 0.0362381 -0.0845179 0.258578 -0.962286
0.44996 -0.203205 0.0363387 -0.0845179 0.258578 -0.962286
0.450733 -0.202578 0.0364393 -0.0845179 0.258578 -0.962286
0.451505 -0.201951 0.03654 -0.0845179 0.258578 -0.962286
0.452277 -0.201321 0.0366294 -0.100778 0.237946 -0.966036
0.453047 -0.200688 0.0367051 -0.100778 0.237946 -0.966036
0.453817 -0.200055 0.0367807 -0.100778 0.237946 -0.966036
0.454587 -0.199421 0.0368564 -0.100778 0.237946 -0.966036
0.455357 -0.198788 0.0369321 -0.100778 0.237946 -0.966036
0.456127 -0.198153 0.0370032 -0.115261 0.244697 -0.962724
0.456896 -0.197518 0.0370725 -0.115261 0.244697 -0.962724
0.457665 -0.196883 0.0371418 -0.115261 0.244697 -0.962724
