x y z normal_x normal_y normal_z
0.51338 -0.207402 0.0300108 -0.168336 0.317431 -0.933221
0.514162 -0.206606 0.0301404 -0.168336 0.317431 -0.933221
0.518809 -0.201864 0.0308834 -0.170175 0.313109 -0.934346
0.522633 -0.197919 0.0314173 -0.25018 0.252198 -0.934776
0.527147 -0.192975 0.0315429 -0.217853 0.261072 -0.940415
0.532089 -0.187669 0.0318712 -0.217853 0.261072 -0.940415
0.536219 -0.183113 0.031914 -0.232294 0.219531 -0.947547
0.540805 -0.177841 0.0315559 -0.29526 0.19325 -0.935669
0.542808 -0.175507 0.0313423 -0.306584 0.143486 -0.940966
0.546657 -0.170945 0.0307838 -0.328144 0.14034 -0.934145
0.553097 -0.163225 0.0296816 -0.328667 0.107742 -0.93828
0.555347 -0.160481 0.0292084 -0.328667 0.107742 -0.93828
0.560671 -0.153914 0.0279435 -0.349016 0.102809 -0.93146
0.562581 -0.151558 0.0274879 -0.376542 0.0894606 -0.92207
0.56321 -0.150766 0.027308 -0.376542 0.0894606 -0.92207
0.564889 -0.148601 0.0267339 -0.378362 0.0484279 -0.92439
0.564889 -0.148601 0.0267339 -0.378362 0.0484279 -0.92439
0.565062 -0.146322 0.0267827 -0.374036 0.0452897 -0.926308
0.565718 -0.137521 0.0269479 -0.367804 0.0783801 -0.926594
0.566287 -0.130998 0.0272739 -0.357749 0.05774 -0.932031
0.566748 -0.125229 0.0274545 -0.357749 0.05774 -0.932031
0.566918 -0.122518 0.0274242 -0.38848 0.0140248 -0.92135
0.567395 -0.114241 0.0272329 -0.38435 0.000879332 -0.923187
0.567606 -0.11057 0.0271483 -0.382304 -0.017894 -0.923863
0.567886 -0.105035 0.0269254 -0.382304 -0.017894 -0.923863
0.567979 -0.103087 0.026834 -0.37264 -0.0257156 -0.92762
0.568284 -0.0961824 0.0264474 -0.373281 -0.0406673 -0.926827
0.568319 -0.0953589 0.0263972 -0.373281 -0.0406673 -0.926827
0.568556 -0.0898543 0.0260745 -0.384043 -0.0394789 -0.922471
0.568934 -0.0809278 0.025535 -0.37876 -0.0729554 -0.922615
0.56899 -0.0790625 0.0253647 -0.326505 -0.111107 -0.938642
0.569111 -0.0720823 0.0244963 -0.326505 -0.111107 -0.938642
0.56928 -0.0667736 0.0240554 -0.38188 -0.134083 -0.914434
0.569284 -0.0661094 0.0239562 -0.38188 -0.134083 -0.914434
0.569284 -0.0661094 0.0239562 -0.38188 -0.134083 -0.914434
0.566484 -0.0614056 0.024436 -0.356387 -0.168735 -0.918976
0.565456 -0.0597435 0.0245296 -0.354066 -0.169709 -0.919694
0.563057 -0.055874 0.0247388 -0.311341 -0.163879 -0.936061
0.560485 -0.0517863 0.0248787 -0.346969 -0.139319 -0.927471
0.559232 -0.0497286 0.0250386 -0.346969 -0.139319 -0.927471
0.555298 -0.04344 0.0253162 -0.341775 -0.172988 -0.923723
0.553134 -0.040025 0.0254086 -0.32896 -0.193954 -0.924212
0.54925 -0.0339418 0.0255144 -0.314773 -0.211396 -0.925327
0.547447 -0.0311691 0.0254945 -0.31518 -0.230033 -0.920732
0.544898 -0.0273014 0.0254006 -0.31518 -0.230033 -0.920732
0.539834 -0.0196668 0.0251488 -0.307475 -0.234372 -0.922241
0.538966 -0.0183733 0.0250868 -0.304857 -0.248543 -0.919396
0.537671 -0.0164301 0.0250108 -0.274428 -0.243268 -0.930328
0.532719 -0.00911779 0.0245598 -0.274428 -0.243268 -0.930328
0.529149 -0.00392485 0.0241282 -0.280228 -0.288072 -0.915689
0.526956 -0.000775081 0.0238086 -0.271496 -0.301303 -0.914061
0.525513 0.00126943 0.0235633 -0.258311 -0.30396 -0.916997
0.520709 0.00802126 0.0226782 -0.258311 -0.30396 -0.916997
0.517596 0.0123578 0.0220522 -0.231284 -0.332299 -0.914377
0.514496 0.016577 0.0213028 -0.231284 -0.332299 -0.914377
0.512705 0.0190162 0.02087 -0.231301 -0.332151 -0.914426
0.51156 0.0205717 0.0205891 -0.227579 -0.332726 -0.915151
